FirstName,LastName,CountryId,BirthDate,ClubId,Salary,PictureUrl
Jürgen,Klopp,7,6/16/1967,6,7550000,https://tmssl.akamaized.net/images/portrait/header/118-1445852175.jpg?lm=1445852225
Marcelo,Gallardo,2,1/18/1976,1,420000,https://tmssl.akamaized.net/images/portrait/header/19885-1453988136.png?lm=1453988145
Miguel Ángel,Russo,2,4/9/1956,2,180000,https://tmssl.akamaized.net/images/portrait/header/2738-1547821631.jpg?lm=1547821644
Hans-Dieter,Flick,6,2/24/1965,15,6350000,https://tmssl.akamaized.net/images/portrait/header/67-1570372694.jpg?lm=1570372716
Erik,ten Hag,9,2/2/1970,8,1800000,https://tmssl.akamaized.net/images/portrait/header/3816-1535533360.jpg?lm=1535533380
Ronald,Koeman,9,3/21/1963,4,5750000,https://tmssl.akamaized.net/images/portrait/header/439-1602054396.jpg?lm=1602054440
Thomas,Tuchel,6,8/29/1973,3,8200000,https://tmssl.akamaized.net/images/portrait/header/7471-1471509824.jpg?lm=1471509985
Zinedine,Zidane,4,6/29/1973,5,7900000,https://tmssl.akamaized.net/images/portrait/header/21284-1502960718.jpg?lm=1502960732
Marcelo,Bielsa,2,7/21/1955,10,750000,https://tmssl.akamaized.net/images/portrait/header/2553-1587720388.jpg?lm=1587720400
Sebastián,Beccacece,2,12/17/1980,12,95000,https://tmssl.akamaized.net/images/portrait/header/34076-1600586162.jpg?lm=1600586183
Ole Gunnar,Solskjaer,10,2/26/1973,7,5320000,https://tmssl.akamaized.net/images/portrait/header/7286-1547546561.jpg?lm=1547546582
